開催＃,抽選日,#1,#2,#3,#4,#5,#6
1454,2020/2/6,3,15,19,34,37,40
1453,2020/2/3,10,22,26,27,28,41
1452,2020/1/30,17,19,29,31,37,39
1451,2020/1/27,2,6,10,20,24,43
1450,2020/1/23,24,25,26,27,34,36
1449,2020/1/20,6,19,20,26,34,38
1448,2020/1/16,10,12,25,29,32,41
1447,2020/1/13,2,9,12,13,14,22
1446,2020/1/9,2,5,11,20,21,32
1445,2019/12/30,3,14,24,29,30,42
1444,2019/12/26,11,20,24,25,30,37
1443,2019/12/23,2,4,8,10,22,33
1442,2019/12/19,12,21,35,36,40,43
1441,2019/12/16,12,22,24,33,35,42
1440,2019/12/12,1,7,20,31,41,42
1439,2019/12/9,11,17,23,28,34,41
1438,2019/12/5,2,5,6,20,33,38
1437,2019/12/2,3,11,24,25,37,40
1436,2019/11/28,3,7,17,18,30,36
1435,2019/11/25,2,4,16,21,22,40
1434,2019/11/21,2,20,30,38,39,40
1433,2019/11/18,3,5,12,16,38,42
1432,2019/11/14,4,5,15,32,33,43
1431,2019/11/11,2,27,28,33,38,40
1430,2019/11/7,4,7,9,12,20,28
1429,2019/11/4,4,8,13,18,21,23
1428,2019/10/31,16,18,19,34,35,36
1427,2019/10/28,1,7,25,26,38,41
1426,2019/10/24,4,13,17,19,30,43
1425,2019/10/21,1,24,28,33,35,42
1424,2019/10/17,6,7,25,26,33,36
1423,2019/10/14,11,24,29,36,37,42
1422,2019/10/10,12,14,17,20,24,30
1421,2019/10/7,2,14,20,23,37,43
1420,2019/10/3,1,2,14,16,22,28
1419,2019/9/30,5,10,11,12,21,37
1418,2019/9/26,4,21,32,35,42,43
1417,2019/9/23,3,10,25,26,27,31
1416,2019/9/19,2,9,10,15,24,36
1415,2019/9/16,1,3,7,34,39,40
1414,2019/9/12,12,19,21,26,40,41
1413,2019/9/9,7,13,17,21,24,26
1412,2019/9/5,2,19,24,25,32,42
1411,2019/9/2,2,5,7,20,25,28
1410,2019/8/29,8,14,17,25,36,41
1409,2019/8/26,5,6,8,20,22,25
1408,2019/8/22,2,17,24,26,34,43
1407,2019/8/19,10,13,19,28,33,39
1406,2019/8/15,20,24,27,29,34,35
1405,2019/8/12,3,4,6,19,23,24
1404,2019/8/8,2,17,29,37,38,39
1403,2019/8/5,1,3,10,27,34,41
1402,2019/8/1,10,24,26,33,36,42
1401,2019/7/29,2,13,23,24,25,33
1400,2019/7/25,8,10,26,31,34,39
1399,2019/7/22,7,20,21,33,41,43
1398,2019/7/18,23,29,34,35,40,43
1397,2019/7/15,9,18,19,21,25,26
1396,2019/7/11,3,7,11,15,23,41
1395,2019/7/8,5,16,18,27,30,43
1394,2019/7/4,8,9,35,36,42,43
1393,2019/7/1,7,11,26,32,42,43
1392,2019/6/27,6,9,12,19,40,42
1391,2019/6/24,3,12,23,31,36,42
1390,2019/6/20,10,11,13,28,34,39
1389,2019/6/17,6,16,21,23,26,42
1388,2019/6/13,9,10,12,15,29,37
1387,2019/6/10,11,27,29,30,37,38
1386,2019/6/6,4,11,14,15,20,38
1385,2019/6/3,9,20,28,35,41,43
1384,2019/5/30,3,6,13,32,38,43
1383,2019/5/27,2,4,9,15,18,39
1382,2019/5/23,8,9,12,25,26,28
1381,2019/5/20,2,4,5,16,19,38
1380,2019/5/16,1,3,24,26,29,33
1379,2019/5/13,1,2,19,21,24,37
1378,2019/5/9,1,10,15,24,35,43
1377,2019/5/6,1,7,13,24,40,43
1376,2019/5/2,2,5,22,31,32,43
1375,2019/4/29,2,5,21,22,31,38
1374,2019/4/25,1,4,5,19,23,35
1373,2019/4/22,1,10,13,18,20,41
